instance_folder,instance_id,method,time_limit,feasibility,obj,time_offline,time_online,start_times,real_durations,mode,obj_pi
ubo50,28,proactive_SAA_smart,180,True,181.0,0.7595040798187256,0.0008368492126464844,"[0, 0, 0, 10, 0, 0, 18, 0, 0, 156, 64, 14, 21, 61, 42, 22, 28, 17, 103, 37, 64, 45, 8, 10, 43, 9, 50, 40, 44, 100, 8, 49, 141, 48, 127, 123, 52, 29, 31, 55, 121, 41, 75, 64, 123, 40, 41, 55, 127, 49, 175, 181]","[0, 1, 11, 6, 8, 4, 11, 8, 2, 6, 4, 3, 5, 2, 1, 6, 9, 11, 4, 4, 9, 2, 2, 12, 6, 9, 4, 1, 1, 4, 1, 6, 6, 4, 7, 2, 8, 7, 1, 7, 6, 1, 7, 1, 1, 2, 6, 2, 5, 3, 6, 0]",SAA_smart,181.0
ubo50,28,proactive_SAA_smart,180,True,181.0,0.7595040798187256,0.0007967948913574219,"[0, 0, 0, 10, 0, 0, 18, 0, 0, 156, 64, 14, 21, 61, 42, 22, 28, 17, 103, 37, 64, 45, 8, 10, 43, 9, 50, 40, 44, 100, 8, 49, 141, 48, 127, 123, 52, 29, 31, 55, 121, 41, 75, 64, 123, 40, 41, 55, 127, 49, 175, 181]","[0, 2, 9, 8, 7, 4, 9, 9, 5, 6, 2, 1, 5, 2, 1, 6, 6, 9, 4, 5, 5, 1, 4, 8, 6, 7, 3, 1, 1, 2, 1, 7, 12, 5, 6, 2, 10, 12, 3, 4, 5, 2, 7, 1, 1, 2, 2, 1, 6, 2, 3, 0]",SAA_smart,181.0
ubo50,28,proactive_SAA_smart,180,True,181.0,0.7595040798187256,0.0008268356323242188,"[0, 0, 0, 10, 0, 0, 18, 0, 0, 156, 64, 14, 21, 61, 42, 22, 28, 17, 103, 37, 64, 45, 8, 10, 43, 9, 50, 40, 44, 100, 8, 49, 141, 48, 127, 123, 52, 29, 31, 55, 121, 41, 75, 64, 123, 40, 41, 55, 127, 49, 175, 181]","[0, 1, 6, 9, 5, 2, 10, 8, 5, 6, 5, 1, 9, 2, 1, 3, 6, 6, 7, 4, 6, 2, 6, 7, 8, 7, 6, 1, 2, 5, 1, 7, 10, 4, 6, 1, 10, 11, 1, 5, 6, 1, 11, 1, 2, 4, 3, 2, 4, 1, 4, 0]",SAA_smart,181.0
ubo50,28,proactive_SAA_smart,180,True,181.0,0.7595040798187256,0.0008001327514648438,"[0, 0, 0, 10, 0, 0, 18, 0, 0, 156, 64, 14, 21, 61, 42, 22, 28, 17, 103, 37, 64, 45, 8, 10, 43, 9, 50, 40, 44, 100, 8, 49, 141, 48, 127, 123, 52, 29, 31, 55, 121, 41, 75, 64, 123, 40, 41, 55, 127, 49, 175, 181]","[0, 1, 7, 9, 7, 3, 8, 5, 4, 8, 4, 1, 7, 1, 1, 6, 10, 9, 3, 3, 9, 2, 4, 8, 10, 6, 4, 1, 2, 3, 2, 4, 6, 8, 7, 1, 8, 9, 2, 7, 3, 1, 9, 1, 1, 2, 3, 2, 3, 2, 5, 0]",SAA_smart,181.0
ubo50,28,proactive_SAA_smart,180,True,181.0,0.7595040798187256,0.0007836818695068359,"[0, 0, 0, 10, 0, 0, 18, 0, 0, 156, 64, 14, 21, 61, 42, 22, 28, 17, 103, 37, 64, 45, 8, 10, 43, 9, 50, 40, 44, 100, 8, 49, 141, 48, 127, 123, 52, 29, 31, 55, 121, 41, 75, 64, 123, 40, 41, 55, 127, 49, 175, 181]","[0, 2, 11, 10, 4, 5, 6, 9, 4, 7, 3, 2, 6, 1, 1, 7, 6, 8, 4, 4, 8, 1, 2, 7, 6, 7, 4, 1, 1, 5, 1, 5, 8, 4, 5, 2, 6, 10, 2, 4, 3, 1, 9, 1, 1, 4, 2, 1, 6, 1, 6, 0]",SAA_smart,181.0
ubo50,28,proactive_SAA_smart,180,True,181.0,0.7595040798187256,0.0008020401000976562,"[0, 0, 0, 10, 0, 0, 18, 0, 0, 156, 64, 14, 21, 61, 42, 22, 28, 17, 103, 37, 64, 45, 8, 10, 43, 9, 50, 40, 44, 100, 8, 49, 141, 48, 127, 123, 52, 29, 31, 55, 121, 41, 75, 64, 123, 40, 41, 55, 127, 49, 175, 181]","[0, 2, 12, 8, 4, 4, 7, 9, 4, 7, 2, 2, 9, 1, 1, 5, 7, 8, 3, 5, 8, 2, 5, 8, 6, 5, 2, 1, 1, 4, 1, 3, 10, 5, 5, 2, 8, 10, 2, 6, 4, 2, 7, 1, 1, 4, 6, 2, 2, 3, 5, 0]",SAA_smart,181.0
ubo50,29,proactive_SAA_smart,180,True,263.0,0.13826608657836914,0.0009250640869140625,"[0, 0, 0, 2, 2, 0, 159, 159, 34, 49, 137, 52, 62, 203, 41, 53, 30, 224, 133, 73, 42, 52, 231, 13, 140, 9, 112, 200, 216, 86, 27, 48, 215, 10, 83, 113, 144, 44, 39, 184, 0, 126, 21, 19, 192, 107, 231, 211, 68, 254, 88, 263]","[0, 2, 2, 8, 1, 7, 5, 11, 2, 1, 5, 7, 10, 2, 10, 12, 7, 1, 4, 10, 4, 1, 9, 8, 7, 2, 5, 10, 4, 7, 5, 1, 4, 5, 3, 11, 3, 6, 1, 2, 9, 7, 5, 5, 11, 3, 3, 1, 4, 9, 1, 0]",SAA_smart,263.0
ubo50,29,proactive_SAA_smart,180,True,263.0,0.13826608657836914,0.0008687973022460938,"[0, 0, 0, 2, 2, 0, 159, 159, 34, 49, 137, 52, 62, 203, 41, 53, 30, 224, 133, 73, 42, 52, 231, 13, 140, 9, 112, 200, 216, 86, 27, 48, 215, 10, 83, 113, 144, 44, 39, 184, 0, 126, 21, 19, 192, 107, 231, 211, 68, 254, 88, 263]","[0, 2, 2, 5, 2, 10, 2, 7, 5, 1, 9, 8, 10, 1, 11, 9, 7, 1, 4, 6, 6, 2, 8, 6, 6, 2, 4, 9, 7, 9, 6, 1, 5, 4, 2, 8, 4, 6, 1, 5, 9, 8, 5, 5, 7, 2, 3, 2, 2, 6, 2, 0]",SAA_smart,263.0
ubo50,29,proactive_SAA_smart,180,True,263.0,0.13826608657836914,0.0008769035339355469,"[0, 0, 0, 2, 2, 0, 159, 159, 34, 49, 137, 52, 62, 203, 41, 53, 30, 224, 133, 73, 42, 52, 231, 13, 140, 9, 112, 200, 216, 86, 27, 48, 215, 10, 83, 113, 144, 44, 39, 184, 0, 126, 21, 19, 192, 107, 231, 211, 68, 254, 88, 263]","[0, 2, 1, 8, 2, 8, 2, 9, 5, 1, 5, 9, 10, 1, 10, 11, 10, 1, 3, 6, 6, 3, 6, 6, 9, 3, 4, 6, 5, 10, 9, 1, 2, 8, 3, 10, 3, 5, 1, 4, 8, 7, 7, 9, 10, 3, 4, 1, 2, 7, 1, 0]",SAA_smart,263.0
ubo50,29,proactive_SAA_smart,180,True,263.0,0.13826608657836914,0.0008552074432373047,"[0, 0, 0, 2, 2, 0, 159, 159, 34, 49, 137, 52, 62, 203, 41, 53, 30, 224, 133, 73, 42, 52, 231, 13, 140, 9, 112, 200, 216, 86, 27, 48, 215, 10, 83, 113, 144, 44, 39, 184, 0, 126, 21, 19, 192, 107, 231, 211, 68, 254, 88, 263]","[0, 1, 1, 6, 2, 6, 4, 11, 3, 1, 7, 10, 6, 3, 11, 11, 7, 1, 4, 7, 6, 3, 6, 4, 6, 3, 3, 7, 6, 7, 6, 1, 4, 8, 2, 9, 2, 8, 1, 2, 8, 7, 7, 9, 11, 1, 3, 1, 3, 9, 2, 0]",SAA_smart,263.0
ubo50,29,proactive_SAA_smart,180,True,263.0,0.13826608657836914,0.0008749961853027344,"[0, 0, 0, 2, 2, 0, 159, 159, 34, 49, 137, 52, 62, 203, 41, 53, 30, 224, 133, 73, 42, 52, 231, 13, 140, 9, 112, 200, 216, 86, 27, 48, 215, 10, 83, 113, 144, 44, 39, 184, 0, 126, 21, 19, 192, 107, 231, 211, 68, 254, 88, 263]","[0, 2, 2, 4, 1, 11, 5, 6, 6, 1, 7, 11, 9, 1, 8, 12, 6, 1, 3, 9, 5, 2, 11, 5, 7, 2, 6, 6, 3, 11, 9, 1, 5, 6, 5, 10, 4, 5, 1, 5, 5, 6, 9, 7, 7, 1, 2, 2, 2, 7, 1, 0]",SAA_smart,263.0
ubo50,29,proactive_SAA_smart,180,True,264.0,0.13826608657836914,0.0008680820465087891,"[0, 0, 0, 2, 2, 0, 159, 159, 34, 49, 137, 52, 62, 203, 41, 53, 30, 224, 133, 73, 42, 52, 231, 13, 140, 9, 112, 200, 216, 86, 27, 48, 215, 10, 83, 113, 144, 44, 39, 184, 0, 126, 21, 19, 192, 107, 231, 211, 68, 254, 88, 263]","[0, 1, 1, 7, 1, 9, 5, 9, 4, 1, 8, 9, 11, 3, 10, 9, 8, 1, 2, 10, 2, 1, 9, 5, 5, 4, 5, 8, 3, 8, 6, 1, 2, 4, 2, 10, 3, 8, 1, 3, 9, 7, 7, 6, 12, 1, 2, 1, 4, 10, 2, 0]",SAA_smart,264.0
ubo50,29,proactive_SAA_smart,180,True,265.0,0.13826608657836914,0.0009002685546875,"[0, 0, 0, 2, 2, 0, 159, 159, 34, 49, 137, 52, 62, 203, 41, 53, 30, 224, 133, 73, 42, 52, 231, 13, 140, 9, 112, 200, 216, 86, 27, 48, 215, 10, 83, 113, 144, 44, 39, 184, 0, 126, 21, 19, 192, 107, 231, 211, 68, 254, 88, 263]","[0, 1, 1, 4, 2, 7, 2, 10, 5, 1, 7, 9, 10, 3, 11, 12, 10, 1, 5, 6, 2, 1, 12, 8, 6, 3, 7, 7, 5, 11, 7, 1, 4, 8, 3, 9, 6, 9, 1, 2, 8, 8, 9, 8, 10, 3, 4, 2, 2, 11, 2, 0]",SAA_smart,265.0
ubo50,29,proactive_SAA_smart,180,True,264.0,0.13826608657836914,0.000885009765625,"[0, 0, 0, 2, 2, 0, 159, 159, 34, 49, 137, 52, 62, 203, 41, 53, 30, 224, 133, 73, 42, 52, 231, 13, 140, 9, 112, 200, 216, 86, 27, 48, 215, 10, 83, 113, 144, 44, 39, 184, 0, 126, 21, 19, 192, 107, 231, 211, 68, 254, 88, 263]","[0, 1, 2, 7, 1, 6, 3, 7, 6, 1, 6, 9, 9, 2, 8, 12, 6, 1, 4, 10, 2, 3, 8, 8, 8, 4, 7, 9, 3, 11, 9, 1, 5, 6, 4, 10, 3, 7, 1, 3, 6, 7, 5, 9, 10, 3, 4, 2, 3, 10, 1, 0]",SAA_smart,264.0
ubo50,29,proactive_SAA_smart,180,True,264.0,0.13826608657836914,0.0008571147918701172,"[0, 0, 0, 2, 2, 0, 159, 159, 34, 49, 137, 52, 62, 203, 41, 53, 30, 224, 133, 73, 42, 52, 231, 13, 140, 9, 112, 200, 216, 86, 27, 48, 215, 10, 83, 113, 144, 44, 39, 184, 0, 126, 21, 19, 192, 107, 231, 211, 68, 254, 88, 263]","[0, 1, 1, 7, 1, 10, 3, 9, 3, 1, 6, 8, 11, 2, 10, 11, 6, 1, 5, 6, 6, 3, 9, 5, 6, 2, 7, 6, 5, 7, 8, 1, 4, 4, 3, 6, 4, 7, 1, 6, 8, 8, 7, 7, 6, 2, 4, 2, 2, 10, 2, 0]",SAA_smart,264.0
ubo50,29,proactive_SAA_smart,180,True,263.0,0.13826608657836914,0.0008356571197509766,"[0, 0, 0, 2, 2, 0, 159, 159, 34, 49, 137, 52, 62, 203, 41, 53, 30, 224, 133, 73, 42, 52, 231, 13, 140, 9, 112, 200, 216, 86, 27, 48, 215, 10, 83, 113, 144, 44, 39, 184, 0, 126, 21, 19, 192, 107, 231, 211, 68, 254, 88, 263]","[0, 2, 2, 4, 1, 9, 4, 6, 6, 1, 8, 9, 9, 1, 9, 7, 8, 1, 2, 12, 3, 3, 10, 6, 8, 2, 7, 8, 4, 8, 5, 1, 5, 7, 3, 9, 4, 5, 1, 2, 5, 6, 7, 9, 6, 1, 3, 1, 3, 8, 1, 0]",SAA_smart,263.0
ubo50,30,proactive_SAA_smart,180,True,290.0,3.520512104034424,0.0008749961853027344,"[0, 0, 93, 0, 0, 133, 14, 10, 152, 200, 60, 249, 196, 11, 147, 261, 11, 2, 167, 41, 122, 51, 25, 65, 227, 42, 12, 108, 268, 199, 195, 80, 111, 27, 160, 227, 234, 185, 23, 81, 170, 59, 102, 59, 7, 143, 108, 35, 194, 229, 281, 290]","[0, 11, 5, 1, 2, 6, 3, 2, 4, 6, 4, 6, 2, 6, 5, 3, 1, 8, 6, 2, 9, 1, 6, 10, 11, 12, 1, 1, 3, 7, 1, 1, 5, 3, 2, 1, 4, 4, 5, 6, 5, 1, 3, 2, 4, 5, 6, 3, 3, 3, 6, 0]",SAA_smart,288.0
ubo50,30,proactive_SAA_smart,180,True,290.0,3.520512104034424,0.0007998943328857422,"[0, 0, 93, 0, 0, 133, 14, 10, 152, 200, 60, 249, 196, 11, 147, 261, 11, 2, 167, 41, 122, 51, 25, 65, 227, 42, 12, 108, 268, 199, 195, 80, 111, 27, 160, 227, 234, 185, 23, 81, 170, 59, 102, 59, 7, 143, 108, 35, 194, 229, 281, 290]","[0, 9, 3, 1, 3, 9, 6, 1, 5, 9, 7, 4, 1, 2, 7, 2, 1, 6, 4, 2, 7, 3, 6, 7, 6, 12, 2, 2, 6, 9, 1, 1, 6, 3, 1, 1, 3, 5, 4, 6, 7, 1, 7, 4, 3, 5, 7, 3, 2, 5, 6, 0]",SAA_smart,287.0
ubo50,30,proactive_SAA_smart,180,True,290.0,3.520512104034424,0.0007832050323486328,"[0, 0, 93, 0, 0, 133, 14, 10, 152, 200, 60, 249, 196, 11, 147, 261, 11, 2, 167, 41, 122, 51, 25, 65, 227, 42, 12, 108, 268, 199, 195, 80, 111, 27, 160, 227, 234, 185, 23, 81, 170, 59, 102, 59, 7, 143, 108, 35, 194, 229, 281, 290]","[0, 6, 6, 1, 3, 8, 6, 2, 7, 11, 3, 5, 1, 5, 8, 3, 1, 8, 8, 3, 6, 1, 6, 6, 11, 8, 2, 1, 3, 7, 1, 1, 5, 3, 1, 1, 7, 3, 2, 6, 8, 1, 4, 2, 5, 8, 7, 4, 1, 2, 8, 0]",SAA_smart,287.0
ubo50,30,proactive_SAA_smart,180,True,290.0,3.520512104034424,0.0007979869842529297,"[0, 0, 93, 0, 0, 133, 14, 10, 152, 200, 60, 249, 196, 11, 147, 261, 11, 2, 167, 41, 122, 51, 25, 65, 227, 42, 12, 108, 268, 199, 195, 80, 111, 27, 160, 227, 234, 185, 23, 81, 170, 59, 102, 59, 7, 143, 108, 35, 194, 229, 281, 290]","[0, 8, 2, 1, 3, 8, 4, 1, 5, 8, 7, 2, 3, 3, 6, 2, 1, 8, 6, 2, 11, 1, 5, 11, 6, 7, 2, 2, 3, 12, 1, 1, 9, 1, 2, 1, 3, 6, 5, 5, 7, 1, 4, 4, 7, 5, 11, 2, 2, 5, 7, 0]",SAA_smart,287.0
ubo50,30,proactive_SAA_smart,180,True,290.0,3.520512104034424,0.0007910728454589844,"[0, 0, 93, 0, 0, 133, 14, 10, 152, 200, 60, 249, 196, 11, 147, 261, 11, 2, 167, 41, 122, 51, 25, 65, 227, 42, 12, 108, 268, 199, 195, 80, 111, 27, 160, 227, 234, 185, 23, 81, 170, 59, 102, 59, 7, 143, 108, 35, 194, 229, 281, 290]","[0, 7, 2, 1, 4, 11, 2, 1, 6, 11, 6, 6, 3, 2, 7, 2, 1, 5, 6, 2, 9, 1, 4, 11, 10, 8, 2, 1, 4, 6, 1, 1, 8, 1, 1, 1, 7, 5, 5, 6, 4, 1, 7, 5, 3, 6, 8, 2, 1, 5, 9, 0]",SAA_smart,290.0
ubo50,30,proactive_SAA_smart,180,True,290.0,3.520512104034424,0.0008251667022705078,"[0, 0, 93, 0, 0, 133, 14, 10, 152, 200, 60, 249, 196, 11, 147, 261, 11, 2, 167, 41, 122, 51, 25, 65, 227, 42, 12, 108, 268, 199, 195, 80, 111, 27, 160, 227, 234, 185, 23, 81, 170, 59, 102, 59, 7, 143, 108, 35, 194, 229, 281, 290]","[0, 9, 5, 1, 5, 8, 5, 3, 7, 11, 7, 5, 3, 6, 8, 1, 1, 7, 7, 2, 9, 2, 5, 6, 8, 8, 1, 1, 4, 12, 1, 1, 6, 1, 1, 1, 7, 7, 4, 6, 7, 1, 4, 2, 4, 7, 11, 4, 2, 4, 6, 0]",SAA_smart,289.0
ubo50,30,proactive_SAA_smart,180,True,292.0,3.520512104034424,0.0008339881896972656,"[0, 0, 93, 0, 0, 133, 14, 10, 152, 200, 60, 249, 196, 11, 147, 261, 11, 2, 167, 41, 122, 51, 25, 65, 227, 42, 12, 108, 268, 199, 195, 80, 111, 27, 160, 227, 234, 185, 23, 81, 170, 59, 102, 59, 7, 143, 108, 35, 194, 229, 281, 290]","[0, 6, 4, 1, 4, 10, 3, 3, 4, 12, 3, 5, 2, 2, 8, 3, 1, 7, 8, 5, 12, 2, 8, 9, 6, 6, 1, 1, 6, 12, 1, 1, 6, 2, 1, 1, 4, 5, 3, 7, 8, 1, 6, 4, 7, 9, 6, 5, 3, 2, 11, 0]",SAA_smart,289.0
ubo50,30,proactive_SAA_smart,180,True,290.0,3.520512104034424,0.0008101463317871094,"[0, 0, 93, 0, 0, 133, 14, 10, 152, 200, 60, 249, 196, 11, 147, 261, 11, 2, 167, 41, 122, 51, 25, 65, 227, 42, 12, 108, 268, 199, 195, 80, 111, 27, 160, 227, 234, 185, 23, 81, 170, 59, 102, 59, 7, 143, 108, 35, 194, 229, 281, 290]","[0, 9, 6, 1, 4, 9, 2, 2, 6, 7, 6, 4, 1, 3, 8, 2, 1, 7, 7, 3, 8, 3, 4, 8, 10, 12, 2, 1, 4, 10, 1, 1, 8, 3, 1, 1, 6, 3, 3, 9, 6, 1, 5, 2, 4, 7, 11, 3, 2, 3, 6, 0]",SAA_smart,288.0
ubo50,30,proactive_SAA_smart,180,True,290.0,3.520512104034424,0.0007951259613037109,"[0, 0, 93, 0, 0, 133, 14, 10, 152, 200, 60, 249, 196, 11, 147, 261, 11, 2, 167, 41, 122, 51, 25, 65, 227, 42, 12, 108, 268, 199, 195, 80, 111, 27, 160, 227, 234, 185, 23, 81, 170, 59, 102, 59, 7, 143, 108, 35, 194, 229, 281, 290]","[0, 11, 6, 1, 2, 8, 4, 2, 8, 6, 3, 5, 3, 6, 5, 2, 1, 5, 6, 3, 11, 1, 4, 9, 6, 10, 1, 2, 3, 7, 1, 1, 9, 1, 1, 1, 5, 4, 4, 8, 4, 1, 4, 5, 3, 7, 8, 2, 3, 5, 8, 0]",SAA_smart,287.0
ubo50,30,proactive_SAA_smart,180,True,290.0,3.520512104034424,0.0008089542388916016,"[0, 0, 93, 0, 0, 133, 14, 10, 152, 200, 60, 249, 196, 11, 147, 261, 11, 2, 167, 41, 122, 51, 25, 65, 227, 42, 12, 108, 268, 199, 195, 80, 111, 27, 160, 227, 234, 185, 23, 81, 170, 59, 102, 59, 7, 143, 108, 35, 194, 229, 281, 290]","[0, 8, 4, 1, 2, 11, 4, 1, 8, 11, 4, 2, 3, 5, 4, 3, 1, 8, 7, 5, 9, 1, 7, 7, 8, 6, 1, 2, 6, 8, 1, 1, 8, 1, 2, 1, 7, 5, 4, 6, 6, 1, 3, 5, 6, 8, 8, 4, 1, 4, 6, 0]",SAA_smart,289.0
ubo50,31,proactive_SAA_smart,180,False,inf,inf,inf,,"[0, 11, 9, 1, 9, 5, 1, 7, 2, 3, 1, 5, 2, 9, 5, 3, 10, 4, 1, 7, 8, 7, 8, 10, 3, 1, 4, 4, 1, 3, 3, 2, 5, 3, 3, 5, 4, 7, 3, 1, 5, 1, 6, 6, 3, 6, 7, 2, 6, 3, 8, 0]",SAA_smart,283.0
ubo50,31,proactive_SAA_smart,180,False,inf,inf,inf,,"[0, 11, 7, 1, 6, 8, 1, 10, 1, 4, 2, 8, 4, 9, 4, 2, 9, 3, 1, 5, 5, 7, 7, 8, 5, 1, 5, 4, 2, 2, 3, 2, 9, 2, 3, 7, 3, 6, 5, 3, 5, 1, 9, 10, 4, 3, 5, 2, 7, 2, 8, 0]",SAA_smart,273.0
ubo50,31,proactive_SAA_smart,180,False,inf,inf,inf,,"[0, 6, 6, 1, 9, 7, 1, 10, 2, 6, 2, 4, 5, 9, 7, 1, 10, 6, 1, 4, 5, 7, 8, 6, 3, 1, 4, 6, 2, 3, 2, 1, 9, 1, 2, 8, 4, 10, 4, 1, 6, 1, 9, 7, 4, 7, 9, 2, 8, 3, 5, 0]",SAA_smart,288.0
ubo50,31,proactive_SAA_smart,180,False,inf,inf,inf,,"[0, 11, 6, 1, 5, 9, 1, 8, 2, 6, 1, 6, 4, 5, 7, 2, 11, 3, 1, 5, 9, 6, 6, 12, 2, 1, 3, 6, 2, 4, 6, 1, 7, 1, 5, 4, 3, 10, 5, 2, 4, 1, 10, 9, 2, 4, 7, 1, 10, 3, 8, 0]",SAA_smart,279.0
ubo50,31,proactive_SAA_smart,180,False,inf,inf,inf,,"[0, 9, 9, 1, 8, 7, 1, 9, 1, 6, 2, 8, 5, 7, 8, 1, 6, 5, 1, 6, 5, 6, 11, 12, 4, 1, 5, 3, 2, 2, 4, 1, 7, 1, 4, 5, 7, 6, 7, 1, 5, 1, 9, 7, 2, 4, 7, 2, 7, 3, 5, 0]",SAA_smart,283.0
ubo50,31,proactive_SAA_smart,180,False,inf,inf,inf,,"[0, 6, 8, 1, 9, 6, 1, 6, 1, 3, 2, 5, 2, 9, 7, 3, 9, 6, 1, 7, 8, 3, 6, 6, 4, 1, 4, 6, 1, 3, 6, 2, 7, 2, 4, 8, 6, 10, 7, 1, 7, 1, 8, 10, 5, 6, 9, 1, 9, 1, 7, 0]",SAA_smart,276.0
ubo50,31,proactive_SAA_smart,180,False,inf,inf,inf,,"[0, 7, 9, 1, 7, 5, 1, 11, 2, 7, 2, 7, 5, 6, 6, 3, 6, 4, 1, 7, 5, 5, 10, 9, 4, 1, 2, 5, 2, 2, 6, 2, 7, 3, 6, 5, 5, 11, 4, 2, 5, 1, 6, 11, 4, 7, 9, 1, 8, 2, 9, 0]",SAA_smart,279.0
ubo50,31,proactive_SAA_smart,180,False,inf,inf,inf,,"[0, 6, 6, 1, 8, 7, 1, 10, 2, 6, 2, 5, 4, 9, 4, 1, 10, 4, 1, 6, 6, 4, 10, 10, 2, 1, 4, 3, 1, 5, 2, 2, 5, 2, 4, 6, 7, 9, 5, 3, 6, 1, 6, 11, 4, 3, 9, 2, 7, 2, 5, 0]",SAA_smart,287.0
ubo50,31,proactive_SAA_smart,180,False,inf,inf,inf,,"[0, 8, 9, 1, 5, 9, 1, 9, 2, 6, 1, 7, 3, 7, 4, 3, 7, 6, 1, 5, 8, 7, 11, 10, 4, 1, 4, 3, 1, 2, 5, 2, 8, 3, 2, 4, 3, 6, 5, 1, 4, 1, 10, 7, 4, 4, 7, 1, 7, 2, 6, 0]",SAA_smart,291.0
ubo50,32,proactive_SAA_smart,180,False,inf,inf,inf,,"[0, 2, 1, 6, 3, 1, 4, 6, 6, 3, 2, 2, 1, 3, 1, 1, 7, 2, 7, 8, 2, 4, 12, 3, 2, 7, 8, 5, 5, 3, 5, 4, 7, 6, 5, 5, 1, 8, 12, 4, 6, 1, 7, 7, 3, 1, 2, 3, 2, 1, 11, 0]",SAA_smart,175.0
ubo50,32,proactive_SAA_smart,180,False,inf,inf,inf,,"[0, 2, 1, 8, 4, 1, 3, 4, 8, 5, 2, 1, 1, 3, 2, 1, 4, 3, 9, 6, 3, 5, 8, 3, 2, 7, 7, 4, 2, 4, 5, 3, 8, 6, 3, 6, 1, 9, 12, 3, 6, 1, 9, 7, 4, 1, 2, 7, 2, 1, 11, 0]",SAA_smart,177.0
ubo50,32,proactive_SAA_smart,180,False,inf,inf,inf,,"[0, 1, 1, 9, 2, 1, 4, 5, 11, 3, 2, 1, 1, 1, 1, 1, 5, 2, 8, 6, 2, 4, 11, 4, 1, 7, 8, 6, 4, 5, 5, 4, 5, 9, 3, 3, 2, 6, 8, 5, 6, 3, 10, 9, 5, 1, 2, 6, 2, 1, 9, 0]",SAA_smart,183.0
ubo50,33,proactive_SAA_smart,180,False,inf,inf,inf,,"[0, 1, 11, 7, 6, 4, 5, 9, 4, 2, 3, 1, 11, 1, 7, 5, 2, 12, 2, 8, 1, 10, 2, 6, 1, 1, 9, 11, 7, 2, 6, 2, 4, 5, 7, 2, 2, 4, 2, 2, 7, 2, 6, 6, 11, 6, 6, 3, 6, 12, 5, 0]",SAA_smart,222.0
ubo50,33,proactive_SAA_smart,180,False,inf,inf,inf,,"[0, 1, 6, 4, 6, 6, 8, 9, 7, 2, 5, 1, 9, 1, 10, 7, 3, 6, 1, 8, 1, 6, 2, 4, 2, 1, 9, 7, 6, 2, 7, 1, 8, 4, 10, 2, 3, 7, 2, 2, 5, 2, 8, 10, 10, 5, 6, 2, 7, 8, 4, 0]",SAA_smart,237.0
ubo50,33,proactive_SAA_smart,180,False,inf,inf,inf,,"[0, 1, 9, 4, 2, 4, 8, 11, 5, 6, 3, 1, 11, 3, 11, 7, 3, 12, 3, 10, 1, 10, 1, 5, 1, 1, 9, 11, 8, 2, 7, 3, 7, 4, 11, 2, 3, 4, 2, 4, 3, 2, 7, 10, 7, 6, 7, 3, 8, 12, 2, 0]",SAA_smart,247.0
ubo50,33,proactive_SAA_smart,180,False,inf,inf,inf,,"[0, 1, 8, 8, 2, 6, 8, 9, 8, 5, 2, 2, 11, 1, 8, 5, 2, 7, 3, 11, 1, 7, 2, 3, 1, 1, 9, 10, 7, 4, 8, 2, 8, 4, 6, 1, 3, 7, 2, 5, 4, 2, 8, 11, 11, 7, 4, 5, 6, 10, 4, 0]",SAA_smart,240.0
ubo50,33,proactive_SAA_smart,180,False,inf,inf,inf,,"[0, 1, 9, 8, 6, 6, 5, 8, 4, 5, 5, 1, 6, 3, 6, 3, 2, 12, 3, 10, 1, 6, 2, 6, 2, 1, 7, 7, 7, 2, 6, 2, 5, 5, 8, 1, 1, 4, 1, 4, 4, 3, 6, 6, 11, 6, 8, 3, 11, 6, 6, 0]",SAA_smart,227.0
ubo50,34,proactive_SAA_smart,180,True,251.0,233.9435329437256,0.0007412433624267578,"[0, 27, 0, 7, 129, 7, 28, 58, 166, 227, 209, 59, 126, 143, 139, 222, 116, 171, 117, 108, 175, 142, 138, 42, 51, 70, 30, 155, 56, 11, 191, 129, 51, 200, 94, 207, 203, 178, 161, 30, 239, 19, 96, 173, 143, 82, 19, 9, 184, 54, 240, 250]","[0, 1, 6, 1, 6, 1, 2, 7, 5, 11, 6, 5, 7, 9, 2, 2, 1, 1, 12, 5, 1, 1, 2, 7, 1, 10, 9, 6, 1, 8, 7, 9, 2, 2, 4, 11, 3, 3, 5, 11, 1, 1, 12, 2, 7, 6, 8, 2, 3, 1, 11, 0]",SAA_smart,205.0
ubo50,34,proactive_SAA_smart,180,True,250.0,233.9435329437256,0.0005910396575927734,"[0, 27, 0, 7, 129, 7, 28, 58, 166, 227, 209, 59, 126, 143, 139, 222, 116, 171, 117, 108, 175, 142, 138, 42, 51, 70, 30, 155, 56, 11, 191, 129, 51, 200, 94, 207, 203, 178, 161, 30, 239, 19, 96, 173, 143, 82, 19, 9, 184, 54, 240, 250]","[0, 1, 6, 2, 8, 1, 2, 6, 4, 9, 12, 6, 7, 8, 1, 2, 1, 1, 7, 7, 1, 1, 4, 9, 1, 6, 11, 5, 2, 6, 5, 9, 2, 3, 6, 7, 2, 3, 5, 12, 1, 1, 11, 1, 9, 11, 5, 2, 3, 1, 8, 0]",SAA_smart,204.0
