instance_folder,instance_id,method,time_limit,feasibility,obj,time_offline,time_online,start_times,real_durations,mode,obj_pi
ubo50,14,proactive_quantile_0.9,60,True,157.0,0.4201648235321045,0.0007939338684082031,"[0, 11, 0, 0, 0, 50, 105, 0, 20, 127, 6, 61, 66, 99, 118, 92, 132, 81, 45, 33, 39, 32, 83, 111, 56, 30, 82, 17, 14, 88, 55, 21, 106, 72, 15, 141, 9, 22, 85, 17, 125, 96, 123, 8, 153, 7, 136, 45, 72, 145, 92, 157]","[0, 1, 8, 4, 3, 10, 1, 2, 8, 5, 4, 11, 1, 11, 4, 1, 8, 1, 4, 10, 10, 1, 1, 7, 4, 8, 1, 2, 1, 9, 1, 9, 8, 8, 1, 7, 3, 7, 5, 1, 11, 6, 1, 1, 3, 7, 8, 1, 4, 4, 3, 0]",quantile_0.9,146.0
ubo50,14,proactive_quantile_0.9,60,True,157.0,0.4201648235321045,0.0007848739624023438,"[0, 11, 0, 0, 0, 50, 105, 0, 20, 127, 6, 61, 66, 99, 118, 92, 132, 81, 45, 33, 39, 32, 83, 111, 56, 30, 82, 17, 14, 88, 55, 21, 106, 72, 15, 141, 9, 22, 85, 17, 125, 96, 123, 8, 153, 7, 136, 45, 72, 145, 92, 157]","[0, 1, 8, 3, 4, 8, 1, 1, 9, 7, 5, 9, 2, 6, 3, 1, 9, 1, 5, 12, 8, 1, 1, 8, 3, 6, 1, 2, 1, 7, 1, 6, 7, 5, 2, 9, 2, 6, 5, 2, 10, 5, 1, 1, 4, 7, 7, 1, 7, 3, 6, 0]",quantile_0.9,142.0
ubo50,14,proactive_quantile_0.9,60,True,157.0,0.4201648235321045,0.0007579326629638672,"[0, 11, 0, 0, 0, 50, 105, 0, 20, 127, 6, 61, 66, 99, 118, 92, 132, 81, 45, 33, 39, 32, 83, 111, 56, 30, 82, 17, 14, 88, 55, 21, 106, 72, 15, 141, 9, 22, 85, 17, 125, 96, 123, 8, 153, 7, 136, 45, 72, 145, 92, 157]","[0, 2, 5, 5, 3, 11, 1, 1, 11, 3, 5, 6, 1, 8, 5, 1, 6, 1, 3, 10, 10, 1, 1, 6, 3, 7, 1, 3, 1, 6, 1, 6, 6, 7, 1, 9, 4, 7, 5, 3, 8, 5, 2, 1, 4, 4, 9, 1, 4, 2, 5, 0]",quantile_0.9,142.0
ubo50,15,proactive_quantile_0.9,60,True,108.0,2.737949848175049,0.000965118408203125,"[0, 12, 2, 0, 26, 17, 69, 31, 100, 62, 19, 1, 94, 2, 45, 15, 24, 53, 91, 57, 22, 85, 87, 64, 18, 58, 67, 97, 7, 1, 70, 0, 64, 37, 65, 33, 56, 39, 60, 45, 32, 78, 69, 101, 99, 97, 94, 82, 26, 61, 105, 108]","[0, 2, 9, 10, 1, 1, 2, 6, 2, 2, 1, 2, 3, 2, 11, 10, 6, 8, 8, 3, 2, 4, 7, 1, 7, 7, 6, 8, 11, 1, 12, 5, 2, 7, 2, 4, 1, 3, 1, 7, 5, 6, 6, 3, 9, 1, 7, 1, 2, 1, 2, 0]",quantile_0.9,97.0
ubo50,15,proactive_quantile_0.9,60,True,108.0,2.737949848175049,0.0008637905120849609,"[0, 12, 2, 0, 26, 17, 69, 31, 100, 62, 19, 1, 94, 2, 45, 15, 24, 53, 91, 57, 22, 85, 87, 64, 18, 58, 67, 97, 7, 1, 70, 0, 64, 37, 65, 33, 56, 39, 60, 45, 32, 78, 69, 101, 99, 97, 94, 82, 26, 61, 105, 108]","[0, 3, 7, 6, 1, 1, 5, 6, 2, 2, 1, 2, 3, 5, 10, 8, 9, 6, 7, 2, 1, 2, 7, 1, 5, 5, 6, 5, 6, 1, 12, 4, 5, 12, 2, 8, 1, 5, 1, 11, 3, 8, 5, 3, 7, 1, 8, 2, 5, 1, 1, 0]",quantile_0.9,96.0
ubo50,15,proactive_quantile_0.9,60,True,108.0,2.737949848175049,0.0008120536804199219,"[0, 12, 2, 0, 26, 17, 69, 31, 100, 62, 19, 1, 94, 2, 45, 15, 24, 53, 91, 57, 22, 85, 87, 64, 18, 58, 67, 97, 7, 1, 70, 0, 64, 37, 65, 33, 56, 39, 60, 45, 32, 78, 69, 101, 99, 97, 94, 82, 26, 61, 105, 108]","[0, 3, 12, 12, 1, 1, 2, 5, 2, 2, 2, 3, 5, 2, 6, 11, 9, 11, 6, 1, 2, 5, 3, 1, 7, 7, 7, 8, 12, 1, 10, 7, 3, 6, 1, 6, 1, 2, 1, 11, 4, 9, 6, 4, 5, 1, 8, 1, 2, 1, 1, 0]",quantile_0.9,100.0
ubo50,15,proactive_quantile_0.9,60,True,108.0,2.737949848175049,0.0007829666137695312,"[0, 12, 2, 0, 26, 17, 69, 31, 100, 62, 19, 1, 94, 2, 45, 15, 24, 53, 91, 57, 22, 85, 87, 64, 18, 58, 67, 97, 7, 1, 70, 0, 64, 37, 65, 33, 56, 39, 60, 45, 32, 78, 69, 101, 99, 97, 94, 82, 26, 61, 105, 108]","[0, 1, 7, 12, 1, 1, 6, 6, 1, 1, 2, 4, 6, 2, 8, 8, 5, 7, 6, 3, 1, 4, 3, 1, 5, 5, 8, 4, 12, 1, 11, 4, 4, 7, 2, 8, 1, 4, 1, 6, 5, 5, 6, 3, 6, 1, 9, 2, 3, 1, 3, 0]",quantile_0.9,95.0
ubo50,15,proactive_quantile_0.9,60,True,108.0,2.737949848175049,0.0008041858673095703,"[0, 12, 2, 0, 26, 17, 69, 31, 100, 62, 19, 1, 94, 2, 45, 15, 24, 53, 91, 57, 22, 85, 87, 64, 18, 58, 67, 97, 7, 1, 70, 0, 64, 37, 65, 33, 56, 39, 60, 45, 32, 78, 69, 101, 99, 97, 94, 82, 26, 61, 105, 108]","[0, 2, 10, 10, 1, 1, 5, 5, 2, 2, 1, 5, 3, 4, 11, 11, 9, 11, 4, 2, 1, 5, 4, 1, 5, 3, 4, 8, 8, 1, 11, 6, 2, 8, 1, 4, 1, 5, 1, 9, 3, 6, 7, 7, 8, 1, 6, 3, 2, 1, 2, 0]",quantile_0.9,97.0
ubo50,15,proactive_quantile_0.9,60,True,108.0,2.737949848175049,0.00080108642578125,"[0, 12, 2, 0, 26, 17, 69, 31, 100, 62, 19, 1, 94, 2, 45, 15, 24, 53, 91, 57, 22, 85, 87, 64, 18, 58, 67, 97, 7, 1, 70, 0, 64, 37, 65, 33, 56, 39, 60, 45, 32, 78, 69, 101, 99, 97, 94, 82, 26, 61, 105, 108]","[0, 1, 8, 10, 1, 1, 4, 5, 2, 2, 1, 2, 6, 3, 8, 7, 5, 10, 7, 1, 2, 4, 7, 1, 8, 6, 7, 7, 9, 1, 8, 6, 4, 9, 2, 8, 1, 5, 1, 8, 2, 9, 5, 6, 8, 1, 6, 2, 4, 1, 3, 0]",quantile_0.9,95.0
ubo50,15,proactive_quantile_0.9,60,True,108.0,2.737949848175049,0.0007901191711425781,"[0, 12, 2, 0, 26, 17, 69, 31, 100, 62, 19, 1, 94, 2, 45, 15, 24, 53, 91, 57, 22, 85, 87, 64, 18, 58, 67, 97, 7, 1, 70, 0, 64, 37, 65, 33, 56, 39, 60, 45, 32, 78, 69, 101, 99, 97, 94, 82, 26, 61, 105, 108]","[0, 2, 7, 6, 1, 1, 4, 7, 1, 1, 3, 3, 6, 2, 10, 10, 6, 9, 5, 1, 1, 3, 5, 1, 5, 3, 4, 6, 12, 1, 10, 4, 4, 6, 1, 4, 1, 5, 1, 7, 2, 9, 8, 5, 8, 1, 10, 3, 5, 1, 2, 0]",quantile_0.9,95.0
ubo50,15,proactive_quantile_0.9,60,True,108.0,2.737949848175049,0.0008072853088378906,"[0, 12, 2, 0, 26, 17, 69, 31, 100, 62, 19, 1, 94, 2, 45, 15, 24, 53, 91, 57, 22, 85, 87, 64, 18, 58, 67, 97, 7, 1, 70, 0, 64, 37, 65, 33, 56, 39, 60, 45, 32, 78, 69, 101, 99, 97, 94, 82, 26, 61, 105, 108]","[0, 3, 10, 9, 1, 1, 2, 5, 1, 1, 3, 6, 3, 3, 10, 7, 7, 11, 6, 3, 2, 6, 6, 1, 8, 7, 4, 7, 8, 1, 10, 6, 2, 8, 1, 7, 1, 2, 1, 11, 3, 7, 6, 6, 7, 1, 6, 2, 3, 1, 1, 0]",quantile_0.9,97.0
ubo50,15,proactive_quantile_0.9,60,True,108.0,2.737949848175049,0.0008032321929931641,"[0, 12, 2, 0, 26, 17, 69, 31, 100, 62, 19, 1, 94, 2, 45, 15, 24, 53, 91, 57, 22, 85, 87, 64, 18, 58, 67, 97, 7, 1, 70, 0, 64, 37, 65, 33, 56, 39, 60, 45, 32, 78, 69, 101, 99, 97, 94, 82, 26, 61, 105, 108]","[0, 2, 9, 9, 1, 1, 3, 7, 2, 1, 1, 4, 6, 4, 6, 8, 9, 9, 8, 3, 2, 2, 7, 1, 6, 5, 8, 5, 8, 1, 11, 4, 3, 7, 1, 8, 1, 6, 1, 8, 4, 8, 6, 7, 5, 1, 6, 3, 5, 1, 3, 0]",quantile_0.9,96.0
ubo50,15,proactive_quantile_0.9,60,True,108.0,2.737949848175049,0.0007741451263427734,"[0, 12, 2, 0, 26, 17, 69, 31, 100, 62, 19, 1, 94, 2, 45, 15, 24, 53, 91, 57, 22, 85, 87, 64, 18, 58, 67, 97, 7, 1, 70, 0, 64, 37, 65, 33, 56, 39, 60, 45, 32, 78, 69, 101, 99, 97, 94, 82, 26, 61, 105, 108]","[0, 1, 7, 9, 1, 1, 3, 6, 1, 2, 2, 6, 2, 5, 6, 10, 7, 9, 5, 2, 1, 6, 3, 1, 6, 4, 7, 4, 7, 1, 6, 5, 4, 10, 1, 7, 1, 4, 1, 8, 4, 5, 7, 3, 9, 1, 11, 2, 3, 1, 1, 0]",quantile_0.9,94.0
ubo50,16,proactive_quantile_0.9,60,True,137.0,1.1548988819122314,0.0010080337524414062,"[0, 0, 3, 48, 47, 0, 13, 0, 109, 101, 88, 47, 82, 19, 96, 90, 80, 122, 56, 58, 71, 17, 96, 25, 83, 107, 126, 120, 120, 8, 114, 100, 98, 3, 95, 109, 45, 31, 64, 37, 12, 39, 106, 124, 78, 123, 111, 19, 68, 130, 98, 137]","[0, 11, 5, 8, 6, 2, 9, 3, 6, 3, 5, 9, 6, 7, 4, 2, 1, 2, 8, 6, 6, 1, 1, 8, 7, 1, 11, 1, 4, 9, 4, 3, 1, 4, 1, 2, 2, 5, 4, 7, 1, 4, 7, 3, 6, 1, 6, 8, 8, 5, 5, 0]",quantile_0.9,127.0
ubo50,16,proactive_quantile_0.9,60,True,137.0,1.1548988819122314,0.0008499622344970703,"[0, 0, 3, 48, 47, 0, 13, 0, 109, 101, 88, 47, 82, 19, 96, 90, 80, 122, 56, 58, 71, 17, 96, 25, 83, 107, 126, 120, 120, 8, 114, 100, 98, 3, 95, 109, 45, 31, 64, 37, 12, 39, 106, 124, 78, 123, 111, 19, 68, 130, 98, 137]","[0, 12, 5, 5, 7, 1, 6, 3, 9, 7, 6, 9, 2, 11, 5, 3, 1, 2, 6, 6, 4, 2, 1, 8, 5, 1, 7, 1, 3, 8, 7, 5, 1, 5, 2, 1, 1, 4, 5, 8, 1, 5, 6, 6, 8, 1, 12, 5, 6, 5, 6, 0]",quantile_0.9,126.0
ubo50,16,proactive_quantile_0.9,60,True,138.0,1.1548988819122314,0.0008611679077148438,"[0, 0, 3, 48, 47, 0, 13, 0, 109, 101, 88, 47, 82, 19, 96, 90, 80, 122, 56, 58, 71, 17, 96, 25, 83, 107, 126, 120, 120, 8, 114, 100, 98, 3, 95, 109, 45, 31, 64, 37, 12, 39, 106, 124, 78, 123, 111, 19, 68, 130, 98, 137]","[0, 11, 5, 4, 6, 2, 11, 4, 10, 5, 8, 8, 5, 11, 2, 5, 1, 2, 10, 6, 7, 2, 1, 6, 7, 1, 8, 1, 4, 9, 4, 3, 1, 4, 1, 1, 1, 4, 7, 7, 1, 8, 4, 2, 8, 1, 9, 6, 8, 8, 9, 0]",quantile_0.9,125.0
ubo50,16,proactive_quantile_0.9,60,True,138.0,1.1548988819122314,0.0007879734039306641,"[0, 0, 3, 48, 47, 0, 13, 0, 109, 101, 88, 47, 82, 19, 96, 90, 80, 122, 56, 58, 71, 17, 96, 25, 83, 107, 126, 120, 120, 8, 114, 100, 98, 3, 95, 109, 45, 31, 64, 37, 12, 39, 106, 124, 78, 123, 111, 19, 68, 130, 98, 137]","[0, 8, 4, 4, 7, 3, 12, 4, 8, 3, 5, 7, 6, 6, 4, 3, 2, 2, 8, 3, 7, 1, 1, 6, 3, 1, 7, 2, 2, 6, 6, 3, 1, 5, 1, 2, 1, 8, 6, 11, 1, 4, 6, 2, 9, 1, 7, 7, 11, 8, 5, 0]",quantile_0.9,125.0
ubo50,16,proactive_quantile_0.9,60,True,137.0,1.1548988819122314,0.0008602142333984375,"[0, 0, 3, 48, 47, 0, 13, 0, 109, 101, 88, 47, 82, 19, 96, 90, 80, 122, 56, 58, 71, 17, 96, 25, 83, 107, 126, 120, 120, 8, 114, 100, 98, 3, 95, 109, 45, 31, 64, 37, 12, 39, 106, 124, 78, 123, 111, 19, 68, 130, 98, 137]","[0, 11, 2, 7, 7, 2, 11, 2, 11, 3, 8, 7, 5, 10, 4, 4, 1, 1, 11, 5, 6, 2, 1, 11, 4, 1, 8, 1, 5, 5, 3, 6, 1, 6, 2, 1, 1, 6, 3, 11, 1, 7, 3, 2, 10, 1, 11, 7, 7, 4, 9, 0]",quantile_0.9,129.0
ubo50,16,proactive_quantile_0.9,60,True,137.0,1.1548988819122314,0.0008480548858642578,"[0, 0, 3, 48, 47, 0, 13, 0, 109, 101, 88, 47, 82, 19, 96, 90, 80, 122, 56, 58, 71, 17, 96, 25, 83, 107, 126, 120, 120, 8, 114, 100, 98, 3, 95, 109, 45, 31, 64, 37, 12, 39, 106, 124, 78, 123, 111, 19, 68, 130, 98, 137]","[0, 9, 2, 5, 8, 1, 10, 5, 9, 6, 7, 8, 4, 9, 4, 5, 2, 2, 12, 6, 6, 1, 1, 10, 7, 1, 6, 2, 5, 5, 6, 3, 1, 4, 1, 1, 1, 4, 5, 7, 1, 8, 3, 6, 10, 1, 12, 6, 9, 5, 9, 0]",quantile_0.9,128.0
ubo50,16,proactive_quantile_0.9,60,True,137.0,1.1548988819122314,0.0008268356323242188,"[0, 0, 3, 48, 47, 0, 13, 0, 109, 101, 88, 47, 82, 19, 96, 90, 80, 122, 56, 58, 71, 17, 96, 25, 83, 107, 126, 120, 120, 8, 114, 100, 98, 3, 95, 109, 45, 31, 64, 37, 12, 39, 106, 124, 78, 123, 111, 19, 68, 130, 98, 137]","[0, 12, 3, 6, 11, 3, 7, 4, 6, 3, 6, 9, 3, 6, 4, 5, 1, 2, 7, 2, 7, 2, 1, 8, 6, 1, 10, 2, 6, 8, 3, 2, 1, 4, 1, 1, 2, 8, 4, 11, 1, 8, 4, 4, 11, 1, 8, 9, 11, 7, 9, 0]",quantile_0.9,126.0
ubo50,16,proactive_quantile_0.9,60,True,137.0,1.1548988819122314,0.0008330345153808594,"[0, 0, 3, 48, 47, 0, 13, 0, 109, 101, 88, 47, 82, 19, 96, 90, 80, 122, 56, 58, 71, 17, 96, 25, 83, 107, 126, 120, 120, 8, 114, 100, 98, 3, 95, 109, 45, 31, 64, 37, 12, 39, 106, 124, 78, 123, 111, 19, 68, 130, 98, 137]","[0, 10, 2, 7, 8, 1, 11, 5, 10, 5, 7, 5, 4, 7, 5, 4, 1, 2, 7, 6, 4, 2, 1, 9, 4, 1, 8, 2, 2, 7, 7, 2, 1, 6, 1, 2, 1, 8, 6, 6, 1, 8, 5, 4, 10, 1, 7, 7, 11, 5, 6, 0]",quantile_0.9,127.0
ubo50,16,proactive_quantile_0.9,60,True,137.0,1.1548988819122314,0.0008208751678466797,"[0, 0, 3, 48, 47, 0, 13, 0, 109, 101, 88, 47, 82, 19, 96, 90, 80, 122, 56, 58, 71, 17, 96, 25, 83, 107, 126, 120, 120, 8, 114, 100, 98, 3, 95, 109, 45, 31, 64, 37, 12, 39, 106, 124, 78, 123, 111, 19, 68, 130, 98, 137]","[0, 7, 2, 8, 10, 3, 8, 5, 7, 7, 4, 5, 5, 8, 2, 3, 2, 2, 7, 4, 7, 2, 1, 12, 3, 1, 9, 1, 6, 7, 6, 3, 1, 5, 1, 1, 1, 6, 4, 9, 1, 4, 4, 2, 11, 1, 8, 7, 10, 7, 7, 0]",quantile_0.9,130.0
ubo50,16,proactive_quantile_0.9,60,True,138.0,1.1548988819122314,0.0008268356323242188,"[0, 0, 3, 48, 47, 0, 13, 0, 109, 101, 88, 47, 82, 19, 96, 90, 80, 122, 56, 58, 71, 17, 96, 25, 83, 107, 126, 120, 120, 8, 114, 100, 98, 3, 95, 109, 45, 31, 64, 37, 12, 39, 106, 124, 78, 123, 111, 19, 68, 130, 98, 137]","[0, 8, 4, 4, 11, 3, 6, 2, 11, 4, 4, 7, 5, 6, 4, 2, 2, 2, 9, 5, 3, 1, 1, 9, 4, 1, 12, 1, 2, 6, 7, 4, 1, 7, 1, 2, 1, 6, 4, 8, 1, 4, 6, 5, 8, 1, 12, 5, 12, 4, 5, 0]",quantile_0.9,129.0
ubo50,17,proactive_quantile_0.9,60,True,122.0,2.3063199520111084,0.0009448528289794922,"[0, 0, 0, 0, 17, 13, 9, 59, 87, 77, 51, 29, 24, 8, 41, 90, 29, 66, 110, 33, 7, 75, 95, 51, 22, 84, 63, 116, 104, 6, 46, 46, 108, 77, 69, 39, 54, 69, 53, 9, 27, 51, 99, 66, 78, 118, 110, 92, 116, 41, 66, 122]","[0, 3, 6, 2, 3, 6, 9, 3, 6, 4, 8, 11, 1, 4, 3, 1, 1, 3, 4, 6, 2, 1, 6, 10, 5, 1, 2, 4, 4, 1, 3, 3, 2, 1, 11, 1, 6, 3, 6, 8, 5, 1, 5, 11, 9, 3, 5, 4, 1, 5, 3, 0]",quantile_0.9,102.0
ubo50,17,proactive_quantile_0.9,60,True,122.0,2.3063199520111084,0.0008111000061035156,"[0, 0, 0, 0, 17, 13, 9, 59, 87, 77, 51, 29, 24, 8, 41, 90, 29, 66, 110, 33, 7, 75, 95, 51, 22, 84, 63, 116, 104, 6, 46, 46, 108, 77, 69, 39, 54, 69, 53, 9, 27, 51, 99, 66, 78, 118, 110, 92, 116, 41, 66, 122]","[0, 3, 4, 3, 6, 9, 6, 4, 9, 7, 6, 10, 1, 3, 5, 2, 1, 1, 6, 3, 2, 3, 6, 7, 3, 3, 2, 6, 8, 2, 3, 3, 2, 1, 6, 1, 7, 4, 7, 7, 8, 3, 5, 6, 7, 2, 7, 4, 1, 3, 2, 0]",quantile_0.9,103.0
ubo50,17,proactive_quantile_0.9,60,True,122.0,2.3063199520111084,0.0008819103240966797,"[0, 0, 0, 0, 17, 13, 9, 59, 87, 77, 51, 29, 24, 8, 41, 90, 29, 66, 110, 33, 7, 75, 95, 51, 22, 84, 63, 116, 104, 6, 46, 46, 108, 77, 69, 39, 54, 69, 53, 9, 27, 51, 99, 66, 78, 118, 110, 92, 116, 41, 66, 122]","[0, 4, 7, 3, 5, 9, 9, 6, 11, 3, 7, 10, 1, 4, 2, 2, 2, 2, 6, 3, 1, 1, 6, 6, 5, 1, 2, 4, 4, 1, 2, 2, 1, 1, 10, 2, 9, 3, 6, 6, 7, 2, 7, 10, 10, 3, 6, 4, 2, 4, 3, 0]",quantile_0.9,107.0
ubo50,17,proactive_quantile_0.9,60,True,123.0,2.3063199520111084,0.0007829666137695312,"[0, 0, 0, 0, 17, 13, 9, 59, 87, 77, 51, 29, 24, 8, 41, 90, 29, 66, 110, 33, 7, 75, 95, 51, 22, 84, 63, 116, 104, 6, 46, 46, 108, 77, 69, 39, 54, 69, 53, 9, 27, 51, 99, 66, 78, 118, 110, 92, 116, 41, 66, 122]","[0, 4, 5, 5, 3, 6, 8, 7, 12, 3, 5, 8, 2, 3, 2, 1, 1, 2, 2, 3, 2, 1, 5, 9, 4, 2, 3, 7, 8, 2, 4, 3, 1, 1, 9, 2, 5, 5, 7, 6, 8, 2, 5, 11, 6, 2, 7, 5, 2, 5, 2, 0]",quantile_0.9,108.0
ubo50,17,proactive_quantile_0.9,60,True,122.0,2.3063199520111084,0.0008208751678466797,"[0, 0, 0, 0, 17, 13, 9, 59, 87, 77, 51, 29, 24, 8, 41, 90, 29, 66, 110, 33, 7, 75, 95, 51, 22, 84, 63, 116, 104, 6, 46, 46, 108, 77, 69, 39, 54, 69, 53, 9, 27, 51, 99, 66, 78, 118, 110, 92, 116, 41, 66, 122]","[0, 2, 3, 2, 5, 8, 10, 5, 12, 3, 7, 9, 2, 3, 3, 1, 1, 1, 2, 6, 2, 3, 8, 8, 3, 2, 1, 3, 8, 2, 4, 5, 2, 1, 6, 1, 8, 2, 7, 6, 8, 1, 8, 9, 9, 3, 7, 7, 2, 5, 3, 0]",quantile_0.9,107.0
ubo50,17,proactive_quantile_0.9,60,True,123.0,2.3063199520111084,0.0007910728454589844,"[0, 0, 0, 0, 17, 13, 9, 59, 87, 77, 51, 29, 24, 8, 41, 90, 29, 66, 110, 33, 7, 75, 95, 51, 22, 84, 63, 116, 104, 6, 46, 46, 108, 77, 69, 39, 54, 69, 53, 9, 27, 51, 99, 66, 78, 118, 110, 92, 116, 41, 66, 122]","[0, 2, 6, 4, 7, 9, 6, 6, 9, 3, 7, 11, 3, 4, 5, 2, 2, 2, 2, 4, 1, 3, 4, 8, 4, 1, 1, 7, 8, 1, 3, 5, 2, 1, 7, 1, 6, 4, 11, 5, 4, 1, 7, 10, 7, 3, 4, 4, 2, 3, 1, 0]",quantile_0.9,104.0
ubo50,17,proactive_quantile_0.9,60,True,122.0,2.3063199520111084,0.0008509159088134766,"[0, 0, 0, 0, 17, 13, 9, 59, 87, 77, 51, 29, 24, 8, 41, 90, 29, 66, 110, 33, 7, 75, 95, 51, 22, 84, 63, 116, 104, 6, 46, 46, 108, 77, 69, 39, 54, 69, 53, 9, 27, 51, 99, 66, 78, 118, 110, 92, 116, 41, 66, 122]","[0, 2, 6, 5, 5, 8, 10, 7, 9, 3, 4, 6, 3, 4, 5, 2, 1, 3, 3, 6, 2, 3, 6, 11, 7, 2, 3, 6, 8, 1, 2, 5, 1, 1, 10, 2, 8, 6, 8, 7, 4, 2, 7, 7, 9, 3, 4, 5, 1, 3, 2, 0]",quantile_0.9,106.0
ubo50,17,proactive_quantile_0.9,60,True,122.0,2.3063199520111084,0.0008070468902587891,"[0, 0, 0, 0, 17, 13, 9, 59, 87, 77, 51, 29, 24, 8, 41, 90, 29, 66, 110, 33, 7, 75, 95, 51, 22, 84, 63, 116, 104, 6, 46, 46, 108, 77, 69, 39, 54, 69, 53, 9, 27, 51, 99, 66, 78, 118, 110, 92, 116, 41, 66, 122]","[0, 4, 3, 4, 7, 5, 12, 5, 10, 6, 8, 12, 1, 3, 4, 2, 1, 3, 4, 4, 1, 2, 6, 11, 4, 2, 2, 3, 8, 1, 4, 4, 2, 1, 7, 1, 5, 2, 12, 7, 6, 1, 6, 9, 7, 2, 6, 8, 2, 4, 1, 0]",quantile_0.9,105.0
ubo50,17,proactive_quantile_0.9,60,True,122.0,2.3063199520111084,0.0007841587066650391,"[0, 0, 0, 0, 17, 13, 9, 59, 87, 77, 51, 29, 24, 8, 41, 90, 29, 66, 110, 33, 7, 75, 95, 51, 22, 84, 63, 116, 104, 6, 46, 46, 108, 77, 69, 39, 54, 69, 53, 9, 27, 51, 99, 66, 78, 118, 110, 92, 116, 41, 66, 122]","[0, 5, 3, 2, 5, 8, 11, 4, 7, 7, 8, 6, 3, 3, 4, 2, 2, 3, 2, 3, 2, 1, 6, 8, 7, 3, 3, 5, 6, 1, 3, 4, 2, 1, 6, 1, 6, 2, 8, 7, 4, 3, 9, 9, 9, 1, 7, 5, 1, 4, 1, 0]",quantile_0.9,103.0
ubo50,17,proactive_quantile_0.9,60,True,122.0,2.3063199520111084,0.00080108642578125,"[0, 0, 0, 0, 17, 13, 9, 59, 87, 77, 51, 29, 24, 8, 41, 90, 29, 66, 110, 33, 7, 75, 95, 51, 22, 84, 63, 116, 104, 6, 46, 46, 108, 77, 69, 39, 54, 69, 53, 9, 27, 51, 99, 66, 78, 118, 110, 92, 116, 41, 66, 122]","[0, 4, 4, 4, 7, 7, 9, 7, 11, 7, 6, 12, 2, 4, 4, 2, 2, 1, 5, 5, 1, 3, 4, 6, 3, 1, 3, 5, 8, 1, 5, 2, 2, 1, 8, 2, 7, 6, 7, 7, 5, 2, 6, 8, 12, 1, 5, 4, 1, 5, 3, 0]",quantile_0.9,107.0
ubo50,18,proactive_quantile_0.9,60,True,168.0,0.07569098472595215,0.0009174346923828125,"[0, 0, 0, 23, 29, 0, 117, 126, 38, 0, 26, 2, 153, 20, 97, 106, 60, 43, 21, 123, 99, 107, 138, 0, 29, 9, 4, 39, 142, 55, 133, 154, 102, 79, 151, 55, 85, 21, 67, 61, 77, 92, 136, 9, 160, 87, 28, 47, 39, 161, 163, 168]","[0, 6, 10, 2, 3, 1, 8, 3, 2, 3, 1, 1, 2, 1, 11, 10, 4, 1, 1, 7, 1, 10, 8, 2, 7, 9, 3, 6, 8, 3, 2, 5, 3, 3, 1, 1, 7, 5, 3, 3, 9, 4, 1, 2, 1, 2, 9, 6, 5, 1, 2, 0]",quantile_0.9,151.0
ubo50,18,proactive_quantile_0.9,60,True,168.0,0.07569098472595215,0.0007500648498535156,"[0, 0, 0, 23, 29, 0, 117, 126, 38, 0, 26, 2, 153, 20, 97, 106, 60, 43, 21, 123, 99, 107, 138, 0, 29, 9, 4, 39, 142, 55, 133, 154, 102, 79, 151, 55, 85, 21, 67, 61, 77, 92, 136, 9, 160, 87, 28, 47, 39, 161, 163, 168]","[0, 6, 11, 3, 3, 1, 8, 7, 2, 3, 1, 2, 1, 1, 8, 10, 3, 2, 2, 6, 1, 8, 5, 2, 6, 7, 5, 6, 5, 2, 3, 6, 3, 6, 1, 1, 9, 5, 5, 3, 5, 5, 1, 4, 2, 2, 7, 7, 8, 1, 4, 0]",quantile_0.9,157.0
ubo50,18,proactive_quantile_0.9,60,True,168.0,0.07569098472595215,0.0007691383361816406,"[0, 0, 0, 23, 29, 0, 117, 126, 38, 0, 26, 2, 153, 20, 97, 106, 60, 43, 21, 123, 99, 107, 138, 0, 29, 9, 4, 39, 142, 55, 133, 154, 102, 79, 151, 55, 85, 21, 67, 61, 77, 92, 136, 9, 160, 87, 28, 47, 39, 161, 163, 168]","[0, 3, 6, 5, 3, 1, 6, 6, 2, 2, 1, 2, 2, 1, 12, 10, 5, 1, 2, 8, 1, 11, 5, 5, 9, 8, 2, 8, 8, 3, 1, 9, 3, 2, 1, 1, 11, 6, 5, 7, 6, 4, 1, 2, 1, 1, 10, 4, 8, 1, 3, 0]",quantile_0.9,157.0
ubo50,18,proactive_quantile_0.9,60,True,168.0,0.07569098472595215,0.0007998943328857422,"[0, 0, 0, 23, 29, 0, 117, 126, 38, 0, 26, 2, 153, 20, 97, 106, 60, 43, 21, 123, 99, 107, 138, 0, 29, 9, 4, 39, 142, 55, 133, 154, 102, 79, 151, 55, 85, 21, 67, 61, 77, 92, 136, 9, 160, 87, 28, 47, 39, 161, 163, 168]","[0, 7, 7, 2, 4, 1, 8, 4, 4, 6, 1, 1, 2, 1, 8, 8, 3, 2, 1, 7, 1, 6, 6, 4, 9, 5, 4, 5, 6, 3, 2, 9, 3, 2, 1, 1, 11, 4, 3, 3, 6, 6, 1, 3, 2, 1, 11, 8, 8, 1, 5, 0]",quantile_0.9,164.0
